observation_id,provider,incident_date,service_context,incident_title,source_url,duration_hours,blast_radius_proxy,coded_category,notes,public_record_locator
OBS-001,AWS,2023-06-13,AWS Lambda PES,AWS Lambda Service Event in Northern Virginia (US-EAST-1) Region,https://aws.amazon.com/message/061323/,3.8,multi-service/single-region,software_defect,Latent software defect triggered during scaling; official PES.,2023-06-13 | AWS Lambda PES | AWS Lambda Service Event in Northern Virginia (US-EAST-1) Region
OBS-047,GCP,2024-02-07,Multiple products in europe-west8-b,Multiple product outage in europe-west8-b,https://status.cloud.google.com/incidents/McSxWsRNvAPn7SbWGGig,1.13,multi-service/single-region,infrastructure_failure,Official incident report describes partial zonal service outage in europe-west8-b impacting multiple services.,2024-02-07 | Multiple products in europe-west8-b | Multiple product outage in europe-west8-b
OBS-048,GCP,2024-02-14,Multiple products in us-west1,Control plane unavailability and elevated latencies in us-west1,https://status.cloud.google.com/incidents/u6rQ2nNVbhAFqGCcTm58,3.12,multi-service/single-region,dependency_cascade,Official incident report describes control plane unavailability in us-west1 with a few data-plane impacts across many products.,2024-02-14 | Multiple products in us-west1 | Control plane unavailability and elevated latencies in us-west1
OBS-049,GCP,2024-03-20,Agent Assist / Dialogflow CX / Dialogflow ES / Speech-to-Text,"Issues with Agent Assist, Dialogflow CX/ES, and Cloud Speech-to-Text",https://status.cloud.google.com/incidents/3MTbJCdH8swURGCvrkhe,4.78,multi-region/global,dependency_cascade,Official page documents streaming API internal/unavailable errors; mitigation referenced a dependency service update.,"2024-03-20 | Agent Assist / Dialogflow CX / Dialogflow ES / Speech-to-Text | Issues with Agent Assist, Dialogflow CX/ES, and Cloud Speech-to-Text"
OBS-050,GCP,2024-03-26,Cloud Workstations,Cloud Workstations service issues for us-central1 and us-west1,https://status.cloud.google.com/incidents/TZMCWaQRtAmX9ZDVwYUx,,multi-region/global,,Official mini incident report documents console load errors for Cloud Workstations in two regions.,2024-03-26 | Cloud Workstations | Cloud Workstations service issues for us-central1 and us-west1
OBS-051,GCP,2024-04-22,Batch,Batch service issues in us-central1,https://status.cloud.google.com/incidents/P43dHoyBajdZ82B1kubv,,single-service/single-region,,Official mini incident report documents delays for batch jobs moving from Queued to Scheduled in us-central1.,2024-04-22 | Batch | Batch service issues in us-central1
OBS-052,GCP,2024-09-25,Mandiant Security Validation,Mandiant Security Validation application outage,https://status.cloud.google.com/incidents/psbdfLBYU9GR3bNNq7HT,11.02,multi-region/global,,Official incident page documents inability to create/run content and later maintenance-page redirection.,2024-09-25 | Mandiant Security Validation | Mandiant Security Validation application outage
OBS-053,GCP,2024-10-16,Multiple products in us-west2-a / us-west2,Multiple Google Cloud products unavailable in us-west2-a / us-west2,https://status.cloud.google.com/incidents/RAGcW4N9jHRkrAjnX2v7,3.73,multi-service/single-region,infrastructure_failure,Official incident report documents broad unavailability in us-west2-a/us-west2 affecting multiple products.,2024-10-16 | Multiple products in us-west2-a / us-west2 | Multiple Google Cloud products unavailable in us-west2-a / us-west2
OBS-054,GCP,2024-11-16,Network capacity incident in asia-southeast2,Reduced network capacity between asia-southeast2 and other regions,https://status.cloud.google.com/incidents/kDBRnSgQCPw93E8vKKat,1.43,multi-service/single-region,infrastructure_failure,"Official incident report cites fiber failures and network equipment fault, plus latent software defect on backbone router.",2024-11-16 | Network capacity incident in asia-southeast2 | Reduced network capacity between asia-southeast2 and other regions
OBS-055,GCP,2025-01-08,Cloud Pub/Sub and dependent services,Cloud Pub/Sub outage in multiple regions,https://status.cloud.google.com/incidents/ghMho2Gka33Exr9UNavz,1.22,multi-region/global,configuration_change,Official incident report attributes outage to bad service configuration change rolled out to multiple regions; backlog extended for ordered subscriptions.,2025-01-08 | Cloud Pub/Sub and dependent services | Cloud Pub/Sub outage in multiple regions
OBS-056,GCP,2025-01-10,Vertex Gemini API,Vertex Gemini API elevated errors on Gemini 1.5 Flash 002 model,https://status.cloud.google.com/incidents/2np3yFXF8LegQkKGdPuB,66.67,multi-region/global,,Official incident page documents elevated errors on Gemini 1.5 Flash 002 model from 10 Jan to 13 Jan 2025.,2025-01-10 | Vertex Gemini API | Vertex Gemini API elevated errors on Gemini 1.5 Flash 002 model
OBS-057,GCP,2025-01-24,AppSheet,AppSheet unavailable in us-east4 and europe-west4,https://status.cloud.google.com/incidents/qB1du5LQfSHCJjWR88Fi,1.83,multi-region/global,,Official incident report documents approximately 60% request failure rate in us-east4 and europe-west4.,2025-01-24 | AppSheet | AppSheet unavailable in us-east4 and europe-west4
OBS-058,GCP,2025-01-30,Chronicle Security,Chronicle Security WORKSPACE_ACTIVITY ingestion delays in asia-southeast1 and asia-south1,https://status.cloud.google.com/incidents/n8QFYMxUxe65sum9P1gk,13.33,multi-region/global,,Official mini incident report documents delayed WORKSPACE_ACTIVITY data and delayed detections/search in two regions.,2025-01-30 | Chronicle Security | Chronicle Security WORKSPACE_ACTIVITY ingestion delays in asia-southeast1 and asia-south1
OBS-059,GCP,2025-02-18,Google Security Operations (Chronicle / SOAR),SIEM Dashboards and SOAR Advanced Dashboards unavailable,https://status.cloud.google.com/incidents/r23WwsX2tpSN7RyFs83c,3.97,multi-region/global,configuration_change,Official mini incident report attributes impact to revocation of associated internal Looker licenses.,2025-02-18 | Google Security Operations (Chronicle / SOAR) | SIEM Dashboards and SOAR Advanced Dashboards unavailable
OBS-060,GCP,2026-02-27,Vertex AI Gemini API and dependent services,Vertex AI Gemini API customers experienced increased error rates when accessing the global endpoint,https://status.cloud.google.com/incidents/41E5S3mkTGDfkZuJZH5k,1.97,multi-region/global,configuration_change,Official incident report attributes issue to configuration change in safety filtering service supporting Gemini models.,2026-02-27 | Vertex AI Gemini API and dependent services | Vertex AI Gemini API customers experienced increased error rates when accessing the global endpoint
OBS-061,GCP,2024-01-10,Google Cloud Monitoring / dependent products,Google Cloud Monitoring dashboard delays and metric query failures affecting dependent products globally,https://status.cloud.google.com/incidents/ZvBMWa5Z8yhfCwbp5xTp,43.75,multi-region/global,configuration_change,Official incident report; configuration and scheduling/permission changes with mitigation-induced widening.,2024-01-10 | Google Cloud Monitoring / dependent products | Google Cloud Monitoring dashboard delays and metric query failures affecting dependent products globally
OBS-062,GCP,2024-05-16,Google Infrastructure / VPC controller,Google Infrastructure VPC controller automation caused networking connectivity issues and service disruptions,https://status.cloud.google.com/incidents/xVSEV3kVaJBmS7SZbnre,2.8,multi-region/global,software_defect,Official incident report; automation bug shut down VPC controllers in all zones instead of one.,2024-05-16 | Google Infrastructure / VPC controller | Google Infrastructure VPC controller automation caused networking connectivity issues and service disruptions
OBS-063,GCP,2024-06-10,BigQuery / Cloud Logging,Issue with BigQuery Streaming API and Cloud Logging in US multiregion,https://status.cloud.google.com/incidents/hAHmS7WwWk83e4ZQ5XUi,3.25,multi-service/single-region,,"Official mini incident report; concurrent mitigation of simultaneous degradations, full root cause not public in snippet.",2024-06-10 | BigQuery / Cloud Logging | Issue with BigQuery Streaming API and Cloud Logging in US multiregion
OBS-064,GCP,2024-07-15,Cloud Monitoring / dependent products,Cloud Monitoring elevated query errors and degraded performance in us-central1,https://status.cloud.google.com/incidents/ERzzrJqeGR2GCW51XKFv,2.2333,single-service/single-region,,Official incident report for Cloud Monitoring with dependent product signal impacts and alert drops.,2024-07-15 | Cloud Monitoring / dependent products | Cloud Monitoring elevated query errors and degraded performance in us-central1
OBS-065,GCP,2024-09-25,Mandiant Security Validation,"Mandiant Security Validation SaaS customers unable to run or create actions, sequences, and evaluations",https://status.cloud.google.com/incidents/psbdfLBYU9GR3bNNq7HT,11.0167,multi-region/global,software_defect,Official incident report; backend database implementation issue hit sequence-column limit.,"2024-09-25 | Mandiant Security Validation | Mandiant Security Validation SaaS customers unable to run or create actions, sequences, and evaluations"
OBS-066,GCP,2024-10-02,Google Cloud Support / Google Workspace Support,Google Cloud and Google Workspace Support intermittent issues with case creation,https://status.cloud.google.com/incidents/MXtAVH2fTnMpaCDx53JN,2.0833,multi-region/global,software_defect,Official incident report; latent issue in reporting service bypassed backpressure in ticket persistence control plane.,2024-10-02 | Google Cloud Support / Google Workspace Support | Google Cloud and Google Workspace Support intermittent issues with case creation
OBS-067,GCP,2024-11-14,Google Cloud Support,Issues opening support cases,https://status.cloud.google.com/incidents/NEtbe4S7pMgACeuopMaZ,6.2,multi-region/global,,Official incident report; global support case opening issue.,2024-11-14 | Google Cloud Support | Issues opening support cases
OBS-068,GCP,2024-12-04,Google BigQuery / Google Drive integration,Google BigQuery elevated invalid value and internal system errors for Google Drive integration globally,https://status.cloud.google.com/incidents/eEsQrpyy4PEE14RG8aHf,3.4167,multi-region/global,configuration_change,Official incident report; preliminary root cause described as misconfiguration in BigQuery Google Drive integration.,2024-12-04 | Google BigQuery / Google Drive integration | Google BigQuery elevated invalid value and internal system errors for Google Drive integration globally
OBS-069,GCP,2025-06-12,Google API management / Service Control,"Google Cloud, Google Workspace, and Google Security Operations increased 503 errors in external API requests",https://status.cloud.google.com/incidents/ow5i3PPK96RduMcb1SsW,3.0,multi-region/global,configuration_change,Official incident report; invalid automated quota update distributed globally to API management system.,"2025-06-12 | Google API management / Service Control | Google Cloud, Google Workspace, and Google Security Operations increased 503 errors in external API requests"
OBS-070,GCP,2026-02-27,Vertex AI Gemini API / dependent services,Vertex AI Gemini API customers experienced increased error rates,https://status.cloud.google.com/incidents/41E5S3mkTGDfkZuJZH5k,1.9667,multi-region/global,,"Official incident report; impacted Vertex Gemini API, Dialogflow CX, Agent Assist, and Google Cloud Support.",2026-02-27 | Vertex AI Gemini API / dependent services | Vertex AI Gemini API customers experienced increased error rates
